Folder,FD (convnextv2-l-resize),FD (dinov2-l-fb-resize),FD (clip-L-14-resize)
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000030,105.15753826789272,432.7717042726076,118.29905456006662
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-b,134.97525734254987,490.120887983624,128.89456123131896
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-b-000030,94.46913875704922,410.1946783454532,110.84033541810788
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-c,117.91196099948718,465.10105982720233,127.15184684555396
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-b-000010,93.8006677562148,365.4790690847017,108.79089152157457
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-c-000030,103.03544078969936,412.0133851556975,110.41891861512744
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-c,127.00504365380276,490.2415617730098,126.1033316925674
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-c-000010,90.94816663339816,365.1161428809724,103.4398880500466
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a,115.128504599311,451.2851796368468,119.91175527826424
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-b,126.90135248897208,512.7414196371101,130.57158579381138
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-a-000010,124.40132108086766,563.5827796974195,131.14695101757246
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-a-000030,165.96758597592725,738.5959296100709,166.41504407959553
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000030,95.72098893865916,405.56189877663473,104.179174695381
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b-000030,184.39233980843824,870.9513451336347,173.64914447052809
ddim-exp-1033-sd15-nt-attnonly-c-000030,229.05322902279647,1112.4281499287272,208.56165306576185
ddim-exp-1031-sd15-nt-a-000030,229.05322902279647,1112.428153064434,208.5616573032004
ddim-exp-1031-sd15-nt-c-000010,229.05322902279647,1112.428153064434,208.56165356850929
ddim-exp-1034-sd15-nt-lr5e-6-b,229.05322902279647,1112.4281499287272,208.56166136796725
ddim-exp-1035-sd15-nt-lr5e-7-a-000030,229.05322902279647,1112.428152868404,208.5616613901392
ddim-exp-1032-sd15-nt-full-a,229.05322902279647,1112.428153064434,208.56165356288216
ddim-exp-1033-sd15-nt-attnonly-c,229.05322902279647,1112.4281499287272,208.5616535813653
ddim-exp-1031-sd15-nt-b-000030,229.05322902279647,1112.428153064434,208.5616527676692
ddim-exp-1032-sd15-nt-full-b-000010,229.05322902279647,1112.4281521449625,208.5616535474932
ddim-exp-1033-sd15-nt-attnonly-a-000010,229.05322902279647,1112.4281521449625,208.5616536816966
ddim-exp-1035-sd15-nt-lr5e-7-a-000010,229.05322902279647,1112.428152868404,208.5616534395753
ddim-exp-1034-sd15-nt-lr5e-6-a-000010,229.05322902279647,1112.4281499287272,208.5616534306124
ddim-exp-1034-sd15-nt-lr5e-6-c-000010,229.05322902279647,1112.4281499287272,208.56165400993245
ddim-exp-1032-sd15-nt-full-b-000030,229.05322902279647,1112.4281521449625,208.56165703753817
ddim-exp-1032-sd15-nt-full-c-000030,229.05322902279647,1112.4281521449625,208.5616533564654
ddim-exp-1032-sd15-nt-full-a-000030,229.05322902279647,1112.428153064434,208.5616565292932
ddim-exp-1033-sd15-nt-attnonly-a,229.05322902279647,1112.4281521449625,208.56166050044004
ddim-exp-1035-sd15-nt-lr5e-7-c,229.05322902279647,1112.428152868404,208.56164946180476
ddim-exp-1032-sd15-nt-full-b,229.05322902279647,1112.4281521449625,208.56164571541183
ddim-exp-1032-sd15-nt-full-c,229.05322902279647,1112.4281521449625,208.5616538182848
ddim-exp-1033-sd15-nt-attnonly-c-000010,229.05322902279647,1112.4281499287272,208.56165285509496
ddim-exp-1034-sd15-nt-lr5e-6-a,229.05322902279647,1112.4281499287272,208.5616532104895
ddim-exp-1033-sd15-nt-attnonly-b-000010,229.05322902279647,1112.4281521449625,208.5616532001635
ddim-exp-1033-sd15-nt-attnonly-a-000030,229.05322902279647,1112.4281521449625,208.56164960104772
ddim-exp-1034-sd15-nt-lr5e-6-c,229.05322902279647,1112.4281499287272,208.56165348543948
ddim-exp-1035-sd15-nt-lr5e-7-b-000030,229.05322902279647,1112.428152868404,208.56165718859097
ddim-exp-1035-sd15-nt-lr5e-7-c-000030,229.05322902279647,1112.428152868404,208.5616607637293
ddim-exp-1035-sd15-nt-lr5e-7-b,229.05322902279647,1112.428152868404,208.56164903359516
ddim-exp-1031-sd15-nt-a-000010,229.05322902279647,1112.428153064434,208.56165288139744
ddim-exp-1031-sd15-nt-a,229.05322902279647,1112.428153064434,208.56164952441
