Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-b-000010/style/ghibi,1325.969482421875,1025.7742919921875,1089.78759765625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/felix_vallotton_stroke,1808.547607421875,2455.2177734375,1767.455322265625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/ghibi_alter,1065.7418212890625,443.9561462402344,352.16229248046875
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/ukiyo_e,2212.025146484375,1475.208984375,1342.9866943359375
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/impressionism,571.7628173828125,531.9857788085938,461.8482666015625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/vladimir_borovikovsky,1173.9508056640625,566.4947509765625,1476.511962890625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/pencil_drawing,383.4437561035156,339.7402648925781,438.5984191894531
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a-000030/style/ghibi,1461.0205078125,1191.775390625,2039.34423828125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/felix_vallotton_stroke,1327.2012939453125,2178.28466796875,1119.1968994140625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/ghibi_alter,1403.77001953125,445.69635009765625,324.39276123046875
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/ukiyo_e,2525.281494140625,1555.6529541015625,1510.763427734375
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/impressionism,656.9949951171875,589.2335205078125,336.92755126953125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/vladimir_borovikovsky,1266.7109375,561.890625,1658.70556640625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/pencil_drawing,654.1441040039062,320.75054931640625,385.8678894042969
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-a/style/ghibi,1942.547607421875,1278.095458984375,2904.1005859375
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/felix_vallotton_stroke,2375.12353515625,2609.70166015625,2158.290283203125
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/ghibi_alter,1350.85400390625,785.5802612304688,2615.90576171875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/ukiyo_e,1568.259033203125,1229.44140625,973.121826171875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/impressionism,664.29150390625,1021.6058349609376,884.412353515625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/vladimir_borovikovsky,1108.849365234375,787.6824951171875,2417.47119140625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/pencil_drawing,328.80584716796875,517.7784423828125,931.5897216796876
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a/style/ghibi,1470.440673828125,1057.36279296875,3508.7119140625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/felix_vallotton_stroke,1648.862060546875,2727.1103515625,2810.881591796875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/ghibi_alter,2460.9873046875,1224.36376953125,3170.909912109375
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/ukiyo_e,890.0491943359375,733.8748168945312,640.0386352539062
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/impressionism,373.25238037109375,683.6515502929688,1547.81201171875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/vladimir_borovikovsky,1028.873779296875,619.217041015625,2682.295166015625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/pencil_drawing,222.9305877685547,759.2442626953125,2035.21923828125
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-a-000010/style/ghibi,1100.9765625,1057.1949462890625,1836.4693603515625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/felix_vallotton_stroke,2175.730712890625,2586.24609375,1849.489501953125
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/ghibi_alter,1907.5172119140625,1047.4501953125,4646.216796875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/ukiyo_e,1479.0626220703125,1076.4197998046875,872.386474609375
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/impressionism,527.606689453125,753.79736328125,614.0233154296875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/vladimir_borovikovsky,1329.799560546875,679.4760131835938,2331.17529296875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/pencil_drawing,274.822265625,470.4674682617188,2053.89453125
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000030/style/ghibi,1416.7926025390625,1125.390380859375,2501.40478515625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000010/style/felix_vallotton_stroke,1768.115234375,2256.663330078125,1570.962158203125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000010/style/ghibi_alter,1164.15869140625,383.6763305664063,564.8002319335938
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000010/style/ukiyo_e,2062.6181640625,1164.440185546875,1307.396728515625
