Folder,Artifact-padding,Liqe-resize,Maniqa-resize
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_waterfall/in_dist_prompts,1.40625,3.0197048,0.319885641336441
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_waterfall/out_dist_prompts,1.755859375,2.616542,0.3759843409061432
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_castle/in_dist_prompts,2.5625,2.5923605,0.3198718726634979
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_castle/out_dist_prompts,2.349609375,2.5568063,0.3583882451057434
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_sculpture1/in_dist_prompts,3.583984375,2.670089,0.3477611243724823
exp-1102-sd15-nt-Prodigy-a-000010/scene/scene_sculpture1/out_dist_prompts,3.5390625,2.6704137,0.3563429117202759
exp-1102-sd15-nt-Prodigy-a-000010/style/felix_vallotton_stroke/in_dist_captions,2.251953125,2.5725195,0.2883358597755432
exp-1102-sd15-nt-Prodigy-a-000010/style/felix_vallotton_stroke/out_dist_prompts,2.1015625,2.6059375,0.4392759799957275
exp-1102-sd15-nt-Prodigy-a-000010/style/ghibi_alter/in_dist_prompts,2.99609375,2.5896864,0.3555292189121246
exp-1102-sd15-nt-Prodigy-a-000010/style/ghibi_alter/out_dist_prompts,2.4921875,2.4945707,0.3397913873195648
exp-1102-sd15-nt-Prodigy-a-000010/style/ukiyo_e/in_dist_prompts,2.85546875,2.7700279,0.3953291177749634
exp-1102-sd15-nt-Prodigy-a-000010/style/ukiyo_e/out_dist_prompts,2.349609375,2.6235192,0.3969045281410217
exp-1102-sd15-nt-Prodigy-a-000010/style/impressionism/in_dist_prompts,2.79296875,2.5576868,0.1610496342182159
exp-1102-sd15-nt-Prodigy-a-000010/style/impressionism/out_dist_prompts,2.490234375,2.5718176,0.1824860423803329
exp-1102-sd15-nt-Prodigy-a-000010/style/vladimir_borovikovsky/in_dist_prompts,3.275390625,2.712826,0.2703510522842407
exp-1102-sd15-nt-Prodigy-a-000010/style/vladimir_borovikovsky/out_dist_prompts,2.609375,2.605908,0.3236552774906158
exp-1102-sd15-nt-Prodigy-a-000010/style/pencil_drawing/in_dist_prompts,3.041015625,2.7241356,0.481046587228775
exp-1102-sd15-nt-Prodigy-a-000010/style/pencil_drawing/out_dist_prompts,2.33203125,2.6821504,0.5199154615402222
exp-1102-sd15-nt-Prodigy-a-000010/style/ghibi/in_dist_prompts,3.388671875,3.0862534,0.5513538122177124
exp-1102-sd15-nt-Prodigy-a-000010/style/ghibi/out_dist_prompts,2.8828125,2.9308174,0.5625362992286682
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_bunny/in_dist_prompts,2.8671875,2.5513065,0.364801287651062
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_bunny/out_dist_prompts,2.943359375,2.5152023,0.341276466846466
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_teddybear/in_dist_prompts,2.37109375,2.5678098,0.3172847628593445
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_teddybear/out_dist_prompts,2.298828125,2.5577056,0.353738784790039
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_pink/in_dist_prompts,2.8515625,2.556433,0.4650224447250366
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_pink/out_dist_prompts,2.64453125,2.7064924,0.5009415149688721
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_panda/in_dist_prompts,2.7421875,2.6993408,0.4816607236862182
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_panda/out_dist_prompts,2.39453125,2.6879318,0.4466880559921264
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_lobster/in_dist_prompts,3.93359375,2.577763,0.4156264066696167
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_lobster/out_dist_prompts,4.01171875,2.6413922,0.4426917135715484
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_tortoise/in_dist_prompts,2.537109375,2.984778,0.5996274352073669
exp-1102-sd15-nt-Prodigy-a-000010/stuffed_toy/plushie_tortoise/out_dist_prompts,2.427734375,2.9570377,0.6067936420440674
exp-1102-sd15-nt-Prodigy-a-000010/anime/yuuki_makoto/in_dist_prompts,2.87109375,2.9772666,0.3786132037639618
exp-1102-sd15-nt-Prodigy-a-000010/anime/yuuki_makoto/out_dist_prompts,2.71484375,2.9950821,0.3700335025787353
exp-1102-sd15-nt-Prodigy-a-000010/anime/yuuki_makoto/out_dist_prompts_tags,2.7578125,2.9998863,0.3400550186634063
exp-1102-sd15-nt-Prodigy-a-000010/anime/tsushima_yoshiko/in_dist_prompts,3.6015625,3.0029113,0.4114700555801391
exp-1102-sd15-nt-Prodigy-a-000010/anime/tsushima_yoshiko/out_dist_prompts,3.4921875,2.9951901,0.3813150823116302
